#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism Name Interactor A	Organism ID Interactor B	Organism Name Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types
426823	2703399	7415	971433	113258	HHV1gp087	-	US2	VCP	-	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	Affinity Capture-Western	physical	Chevalier MS (2003)	PUBMED:12663780	10298	Human Herpesvirus 1	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P06485	F8REB8	NP_044664	P55072	Q96IF9|V9HW80	NP_009057	-	-	-	-	-	-
426824	2703401	7415	971434	113258	HHV1gp089	-	US3	VCP	-	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	Affinity Capture-Western	physical	Chevalier MS (2003)	PUBMED:12663780	10298	Human Herpesvirus 1	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P04413|P06484	B9VQJ7|G8HBH8	NP_044665|NP_044666	P55072	Q96IF9|V9HW80	NP_009057	-	-	-	-	-	-
430623	3054	2703434	109304	971457	-	HHV1gp016	HCFC1	UL9	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Two-hybrid	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P10193	-	NP_044610	-	-	-	-	-	-
430624	3054	2703462	109304	971473	-	HHV1gp046	HCFC1	UL30	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Two-hybrid	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P04293	-	NP_044632	-	-	-	-	-	-
430625	3054	2703423	109304	971449	-	HHV1gp076	HCFC1	UL52	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Two-hybrid	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P10236	G8HBG7	NP_044655	-	-	-	-	-	-
430626	3054	2703434	109304	971457	-	HHV1gp016	HCFC1	UL9	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Affinity Capture-Western	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P10193	-	NP_044610	-	-	-	-	-	-
430627	3054	2703462	109304	971473	-	HHV1gp046	HCFC1	UL30	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Affinity Capture-Western	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P04293	-	NP_044632	-	-	-	-	-	-
430628	3054	2703423	109304	971449	-	HHV1gp076	HCFC1	UL52	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	-	Affinity Capture-Western	physical	Peng H (2010)	PUBMED:20133788	9606	Homo sapiens	10298	Human Herpesvirus 1	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P10236	G8HBG7	NP_044655	-	-	-	-	-	-
430633	2703462	55723	971473	120845	HHV1gp046	-	UL30	ASF1B	-	CIA-II	Affinity Capture-Western	physical	Peng H (2010)	PUBMED:20133788	10298	Human Herpesvirus 1	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P04293	-	NP_044632	Q9NVP2	A0A024R7G4	NP_060624	-	-	-	-	-	-
430634	2703423	55723	971449	120845	HHV1gp076	-	UL52	ASF1B	-	CIA-II	Affinity Capture-Western	physical	Peng H (2010)	PUBMED:20133788	10298	Human Herpesvirus 1	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P10236	G8HBG7	NP_044655	Q9NVP2	A0A024R7G4	NP_060624	-	-	-	-	-	-
467581	2703416	1478	971443	107860	HHV1gp070	RP1-146H21.2	UL48	CSTF2	-	CstF-64	Affinity Capture-Western	physical	Uhlmann T (2007)	PUBMED:17135252	10298	Human Herpesvirus 1	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	P06492	G8HBG2	NP_044650	P33240	-	NP_001293138|NP_001293135|NP_001316	-	-	-	-	-	-
